City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,westport,41.1415,-73.3579,12.83,83,75,6.69,US,1682994462
192,maxixe,-23.8597,35.3472,21.39,84,43,1.9,MZ,1682994625
193,koulamoutou,-1.1303,12.4736,22.01,98,100,0.68,GA,1682994625
194,adrar,20.5022,-10.0711,28.92,11,2,4.46,MR,1682994625
195,san ignacio,17.1561,-89.0714,29.08,65,75,4.12,BZ,1682994459
196,sertolovo,60.1444,30.2017,5.82,96,100,4.4,RU,1682994626
197,volodarskiy,46.4013,48.5409,11.97,86,98,6.58,RU,1682994626
198,chabahar,25.2919,60.643,27.23,71,0,1.42,IR,1682994626
199,marau,-28.4492,-52.2,18.23,88,96,1.79,BR,1682994626
200,georgetown,5.4112,100.3354,30.96,74,20,0.0,MY,1682994580
201,chinchilla,-26.75,150.6333,20.31,26,100,3.83,AU,1682994626
202,usogorsk,63.4106,48.6872,2.8,89,100,3.82,RU,1682994627
203,trostberg an der alz,48.0333,12.55,9.47,86,100,2.97,DE,1682994627
204,krasnozerskoye,53.9828,79.2374,2.1,54,15,5.01,RU,1682994627
205,turkestan,43.3333,68.25,18.99,22,1,9.61,KZ,1682994627
206,hermanus,-34.4187,19.2345,11.56,78,100,2.26,ZA,1682994627
207,camana,-16.6228,-72.7111,19.92,82,1,2.47,PE,1682994627
208,taroa,8.7058,171.2275,27.63,81,100,8.99,MH,1682994628
209,zouerate,22.7187,-12.4521,26.88,14,0,3.98,MR,1682994628
210,sanctuary point,-35.1114,150.629,22.4,45,3,4.04,AU,1682994628
211,fisterra,42.9049,-9.2629,11.68,69,99,1.23,ES,1682994628
212,aketi,2.7388,23.7833,19.65,99,85,0.79,CD,1682994628
213,forster,-32.1667,152.5167,21.88,54,20,0.89,AU,1682994629
214,yigo village,13.5361,144.8886,30.62,71,75,8.75,GU,1682994629
215,mata-utu,-13.2816,-176.1745,28.82,75,3,10.32,WF,1682994629
216,alofi,-19.0595,-169.9187,25.94,69,75,10.29,NU,1682994629
217,sinop,41.7711,34.8709,5.29,76,34,2.49,TR,1682994629
218,kangding,30.0513,101.9603,16.2,68,100,1.77,CN,1682994629
219,angaur state,6.906,134.13,28.91,76,58,5.85,PW,1682994630
220,kekri,25.9667,75.15,26.01,48,46,1.61,IN,1682994630
221,ancud,-41.8697,-73.8203,8.7,93,29,1.64,CL,1682994630
222,chonchi,-42.6128,-73.8092,9.56,98,90,0.34,CL,1682994393
223,assare,-6.8744,-39.875,20.37,98,97,1.5,BR,1682994630
224,lake havasu city,34.4839,-114.3224,29.57,13,100,4.47,US,1682994399
225,keflavik,64.0049,-22.5624,4.92,81,75,3.6,IS,1682994631
226,weno,7.4515,151.8468,30.97,79,100,2.57,FM,1682994631
227,ammi moussa,35.8678,1.1114,16.84,62,78,1.06,DZ,1682994631
228,loushanguan,28.1375,106.82,18.18,90,100,1.28,CN,1682994631
229,qaqortoq,60.7167,-46.0333,1.03,67,100,3.55,GL,1682994631
230,remire-montjoly,4.9167,-52.2667,24.02,94,40,0.0,GF,1682994631
231,revda,56.801,59.9303,9.41,76,96,3.12,RU,1682994632
232,regina,50.4501,-104.6178,13.91,34,20,4.12,CA,1682994390
233,parabel',58.6978,81.4825,1.24,79,100,4.86,RU,1682994632
234,nadym,65.5333,72.5167,-4.03,83,100,6.39,RU,1682994632
235,kayangel,8.0823,134.7173,28.98,74,85,6.35,PW,1682994632
236,rongelap,11.1635,166.8941,27.4,81,23,9.79,MH,1682994632
237,tazovsky,67.4667,78.7,-7.68,97,98,2.96,RU,1682994632
238,petrosino,37.7077,12.4999,16.59,84,100,7.02,IT,1682994633
239,nelson,-41.2833,173.2833,19.05,92,93,3.13,NZ,1682994618
240,chernyshevsk,52.5243,117.0174,13.35,47,100,1.51,RU,1682994633
241,newport,51.5877,-2.9984,11.12,87,100,3.6,GB,1682994437
242,cannonvale,-20.2833,148.7,26.66,68,93,6.15,AU,1682994633
243,novoorsk,51.381,58.9813,7.36,50,6,5.94,RU,1682994633
244,hami,42.8,93.45,18.6,27,69,0.6,CN,1682994633
245,kitimat,54.0524,-128.6534,18.21,74,49,1.03,CA,1682994633
246,maslyanino,54.3436,84.2111,2.52,66,81,4.3,RU,1682994634
247,lesnoy,57.6198,63.0784,7.23,52,100,3.95,RU,1682994634
248,kadhan,24.481,68.9859,28.0,56,0,5.04,PK,1682994634
249,tazacorte,28.629,-17.9293,22.86,42,0,3.13,ES,1682994634
250,vuktyl,63.8567,57.3094,6.49,85,91,7.14,RU,1682994634
251,xam nua,20.4197,104.0439,29.26,50,35,0.64,LA,1682994634
252,castanos,26.7833,-101.4167,30.75,23,76,4.52,MX,1682994635
253,pisco,-13.7,-76.2167,21.68,78,0,6.17,PE,1682994635
254,santander,43.4647,-3.8044,13.59,95,0,2.68,ES,1682994635
255,novaya igirma,57.1334,103.9112,3.21,60,73,3.78,RU,1682994635
256,zaterechnyy,44.7931,45.2097,12.87,70,97,6.5,RU,1682994635
257,kapuskasing,49.4169,-82.4331,2.05,100,100,7.72,CA,1682994635
258,mvurwi,-17.0333,30.85,10.88,98,20,1.2,ZW,1682994636
259,margaret river,-33.95,115.0667,17.41,52,0,2.21,AU,1682994605
260,whitehorse,60.7161,-135.0538,10.43,46,75,7.2,CA,1682994519
261,yanykurgan,43.915,67.2481,20.43,19,0,7.57,KZ,1682994636
262,statesboro,32.4488,-81.7832,18.74,36,0,1.54,US,1682994636
263,celestun,20.8667,-90.4,24.98,69,100,8.05,MX,1682994636
264,tolanaro,-25.0319,46.9987,19.04,88,40,2.06,MG,1682994636
265,pangody,65.85,74.4859,-6.11,85,84,4.3,RU,1682994637
266,shakhtersk,48.0625,38.5167,7.87,93,100,5.11,UA,1682994637
267,saudarkrokur,65.7461,-19.6394,0.53,82,23,0.55,IS,1682994637
268,nuuk,64.1835,-51.7216,0.34,86,8,4.12,GL,1682994637
269,baruun-urt,46.6806,113.2792,17.32,25,49,9.1,MN,1682994637
270,quelimane,-17.8786,36.8883,24.97,69,75,1.54,MZ,1682994637
271,la'ie,21.6477,-157.9253,27.98,60,51,3.13,US,1682994638
272,upington,-28.4478,21.2561,12.44,30,0,2.63,ZA,1682994638
273,el jadid,33.2549,-8.506,18.07,89,100,4.22,MA,1682994638
274,kencong,-8.2833,113.3667,29.5,66,71,1.33,ID,1682994638
275,nemuro,43.3236,145.575,5.1,70,0,3.27,JP,1682994638
276,isla mujeres,21.2311,-86.731,25.09,66,77,4.54,MX,1682994638
277,rapallo,44.3511,9.2297,15.75,77,100,1.79,IT,1682994639
278,corovode,40.5042,20.2272,12.29,85,100,2.62,AL,1682994639
279,hobyo,5.3505,48.5268,28.95,71,83,6.57,SO,1682994467
280,fuyu,45.1833,124.8167,21.34,31,100,12.06,CN,1682994639
281,agadez,19.75,10.25,27.72,14,1,4.29,NE,1682994639
282,tucuma,-0.1833,-50.05,24.72,91,100,1.98,BR,1682994639
283,saint-philippe,-21.3585,55.7679,22.77,80,34,0.81,RE,1682994639
284,as sulayyil,20.4607,45.5779,28.14,24,6,3.52,SA,1682994640
285,badger,64.8,-147.5333,13.14,39,75,3.6,US,1682994640
286,viedma,-40.8135,-62.9967,9.5,36,0,3.11,AR,1682994640
287,caluula,11.9661,50.7569,28.43,75,75,1.52,SO,1682994640
288,kedrovyy,56.1667,91.8167,0.23,66,100,2.4,RU,1682994640
289,east london,-33.0153,27.9116,16.86,76,98,3.34,ZA,1682994640
290,vilyuchinsk,52.9306,158.4028,7.15,91,84,1.88,RU,1682994640
291,porto novo,6.4965,2.6036,24.9,85,100,4.04,BJ,1682994641
292,lata,40.1629,-8.3327,13.84,78,100,1.15,PT,1682994641
293,colares,38.7992,-9.4469,18.83,44,100,4.02,PT,1682994641
294,arpacay,40.8487,43.3291,0.58,80,27,1.97,TR,1682994641
295,paraty,-23.2178,-44.7131,19.8,94,2,1.76,BR,1682994641
296,itaituba,-4.2761,-55.9836,23.68,98,100,0.31,BR,1682994641
297,turka,49.1541,23.0297,6.33,89,97,2.52,UA,1682994642
298,bandar abbas,27.1865,56.2808,22.99,68,0,2.06,IR,1682994642
299,ugoofaaru,5.6667,73.0,27.98,78,100,3.77,MV,1682994642
300,fang,19.9169,99.2145,35.37,35,40,1.43,TH,1682994642
301,port alfred,-33.5906,26.891,16.72,87,85,4.79,ZA,1682994642
302,sola,-13.8833,167.55,28.29,81,68,9.81,VU,1682994642
303,alness,57.696,-4.2551,3.16,89,33,1.29,GB,1682994642
304,sao vicente,-23.9631,-46.3919,24.59,26,0,0.45,BR,1682994578
305,toliara,-23.35,43.6667,17.54,78,0,4.71,MG,1682994643
306,llanes,43.4198,-4.7549,14.86,78,100,4.84,ES,1682994643
307,santos dumont,-21.4567,-43.5525,14.17,93,6,0.99,BR,1682994643
308,al bardiyah,31.7561,25.0865,18.23,56,18,4.95,LY,1682994643
309,agat village,13.3886,144.6585,31.52,74,40,8.75,GU,1682994643
310,mahina,-17.5065,-149.489,28.87,74,75,3.6,PF,1682994643
311,niafunke,15.9322,-3.9906,33.12,24,93,3.18,ML,1682994644
312,egilsstadir,65.2653,-14.3948,-0.05,69,100,2.06,IS,1682994644
313,villa bruzual,9.3328,-69.1208,27.54,60,1,1.33,VE,1682994644
314,oamaru,-45.0784,170.9801,18.54,74,59,6.54,NZ,1682994644
315,necochea,-38.5473,-58.7368,10.2,52,17,3.54,AR,1682994644
316,saint-pierre,-21.3393,55.4781,22.82,64,0,3.6,RE,1682994644
317,barretos,-20.5572,-48.5678,17.09,76,0,1.5,BR,1682994644
318,lulea,65.5842,22.1547,-0.96,93,83,2.57,SE,1682994645
319,narimanov,46.6927,47.8498,11.95,85,100,7.15,RU,1682994645
320,turuntayevo,52.2,107.6167,4.05,44,54,6.63,RU,1682994645
321,antalaha,-14.9003,50.2788,21.2,84,59,2.57,MG,1682994645
322,kapa'a,22.0752,-159.319,26.18,79,100,1.34,US,1682994645
323,port augusta,-32.5,137.7667,21.51,44,0,3.43,AU,1682994645
324,bayanhongor,46.7167,100.1167,4.65,26,100,5.57,MN,1682994646
325,tsiombe,-25.3,45.4833,16.45,69,14,1.18,MG,1682994646
326,siping,43.1633,124.3686,21.74,35,97,12.22,CN,1682994646
327,ta`u,-14.2336,-169.5144,27.55,79,48,10.98,AS,1682994646
328,shanwei,22.782,115.3475,24.37,63,31,5.61,CN,1682994646
329,quellon,-43.1167,-73.6167,7.14,93,20,0.51,CL,1682994646
330,namibe,-15.1961,12.1522,22.17,83,12,2.18,AO,1682994646
331,sakakah,29.9697,40.2064,17.76,28,0,4.9,SA,1682994647
332,belousovka,50.1339,82.5239,1.47,69,20,6.0,KZ,1682994647
333,san patricio,28.017,-97.5169,24.35,81,74,5.43,US,1682994647
334,zdvinsk,54.7021,78.661,2.16,60,38,4.99,RU,1682994647
335,visby,57.6409,18.296,7.12,76,0,7.2,SE,1682994647
336,port blair,11.6667,92.75,30.34,68,63,3.77,IN,1682994647
337,kolonia town,6.964,158.206,31.0,74,100,7.2,FM,1682994647
338,mil'kovo,55.6078,37.7956,1.7,75,0,2.04,RU,1682994648
339,santyoku,37.4406,129.1708,18.62,46,100,3.21,KR,1682994648
340,san julian,21.0167,-102.1667,19.99,19,7,6.68,MX,1682994648
341,aykhal,66.0,111.5,-7.55,90,100,9.85,RU,1682994648
342,lazaro cardenas,17.9583,-102.2,24.46,67,0,1.06,MX,1682994648
343,mar del plata,-38.0023,-57.5575,10.53,61,0,2.06,AR,1682994642
344,mondariz,42.2311,-8.4584,15.97,72,0,2.06,ES,1682994649
345,nuku'alofa,-21.1333,-175.2,27.19,69,20,8.75,TO,1682994649
346,yuzhno-kurilsk,44.0306,145.8556,6.31,66,1,5.48,RU,1682994649
347,kharp,66.8014,65.8081,-2.48,97,100,4.23,RU,1682994649
348,hamilton,39.1834,-84.5333,6.24,93,100,2.57,US,1682994463
349,hadibu,12.65,54.0333,28.02,77,99,1.04,YE,1682994649
350,ostersund,63.1792,14.6357,-1.75,93,31,4.63,SE,1682994650
351,miranda,3.2499,-76.2281,24.07,90,72,2.67,CO,1682994650
352,labytnangi,66.6572,66.4183,-3.32,97,100,3.55,RU,1682994525
353,enniskillen,54.3461,-7.6413,5.1,92,100,0.99,GB,1682994650
354,new norfolk,-42.7826,147.0587,16.06,64,71,2.24,AU,1682994650
355,plastun,44.7561,136.2939,17.71,42,3,2.44,RU,1682994650
356,kerikeri,-35.2268,173.9474,22.73,83,100,0.89,NZ,1682994373
357,talara,-4.5772,-81.2719,26.42,83,40,1.54,PE,1682994650
358,evinayong,1.4368,10.5512,20.14,99,100,0.35,GQ,1682994651
359,mezhdurechenskiy,59.6,65.9333,6.24,58,100,3.52,RU,1682994651
360,acala,16.5667,-92.8,32.12,51,100,0.67,MX,1682994651
361,de aar,-30.6497,24.0123,12.57,24,34,0.77,ZA,1682994651
362,crane,31.3974,-102.3501,23.79,27,100,2.74,US,1682994651
363,la ronge,55.1001,-105.2842,17.12,21,75,4.63,CA,1682994651
364,sebastopol,44.6,33.5333,9.48,79,4,3.32,UA,1682994651
365,jinchang,38.4953,102.1739,21.58,15,99,0.95,CN,1682994652
366,cova figueira,14.8905,-24.2934,22.4,72,2,2.29,CV,1682994652
367,laem sing,12.4816,102.0738,32.19,72,98,2.59,TH,1682994652
368,sorong,-0.8833,131.25,28.68,73,87,4.08,ID,1682994652
369,palikir - national government center,6.9248,158.1611,30.41,74,100,7.2,FM,1682994652
370,khash,28.2211,61.2158,21.57,31,0,0.7,IR,1682994652
371,howrah,22.5892,88.3103,28.0,69,40,0.0,IN,1682994652
372,klyuchi,52.2667,79.1667,3.2,48,9,5.69,RU,1682994653
373,mount pearl,47.5166,-52.7813,1.75,91,100,5.66,CA,1682994653
374,antsiranana,-12.2787,49.2917,22.84,83,25,3.05,MG,1682994653
375,laojunmiao,39.8333,97.7333,16.41,11,38,2.13,CN,1682994653
376,nova xavantina,-14.6667,-52.35,22.78,79,2,1.18,BR,1682994653
377,port lincoln,-34.7333,135.8667,18.38,59,33,7.14,AU,1682994654
378,prince rupert,54.3161,-130.3201,12.05,78,0,8.23,CA,1682994614
379,wotho,10.1657,166.0102,27.3,82,85,9.4,MH,1682994654
380,sao felix do xingu,-6.6447,-51.995,22.44,98,100,0.46,BR,1682994416
381,tambura,5.6,27.4667,19.47,87,51,1.71,SS,1682994654
382,coahuayana de hidalgo,18.7,-103.6583,22.57,70,0,1.07,MX,1682994654
383,port douglas,-16.4833,145.4667,27.38,70,95,5.01,AU,1682994654
384,okahandja,-21.9833,16.9167,20.65,48,68,4.47,NA,1682994655
385,palangkaraya,-2.2,113.8333,31.42,61,80,1.23,ID,1682994468
386,calama,-22.4667,-68.9333,10.27,25,0,5.14,CL,1682994655
387,kuta,-8.7233,115.1723,30.0,74,20,3.6,ID,1682994655
388,houghton,47.1219,-88.569,2.71,93,100,10.8,US,1682994655
389,juneau,58.3019,-134.4197,9.12,90,100,4.12,US,1682994655
390,barabai,-2.5833,115.3833,31.5,66,73,0.47,ID,1682994656
391,junin de los andes,-39.9504,-71.0694,6.1,77,5,0.89,AR,1682994656
392,yinchuan,38.4681,106.2731,21.13,32,4,3.93,CN,1682994425
393,gostynin,52.4294,19.4619,8.45,76,100,3.13,PL,1682994656
394,horta,38.5333,-28.6333,15.57,77,25,6.26,PT,1682994656
395,dapa,9.7594,126.0531,25.17,93,100,4.63,PH,1682994656
396,novo aripuana,-5.1206,-60.3797,23.84,97,100,1.07,BR,1682994656
397,pechora,65.1472,57.2244,4.55,84,99,8.19,RU,1682994657
398,bintulu,3.1667,113.0333,31.23,79,40,0.0,MY,1682994657
399,praia,14.9215,-23.5087,22.3,83,0,1.54,CV,1682994657
400,las heras,-46.5419,-68.9359,5.23,71,0,5.08,AR,1682994657
401,zhaqsy,51.9083,67.3133,8.16,39,78,3.43,KZ,1682994657
